epoch,train_loss,val_exact_acc,val_char_acc,val_ned,lr,sec
1,1.282810,0.686400,0.913143,0.933744,0.00099931,16.92
2,0.091533,0.848600,0.963057,0.971754,0.00099726,15.87
3,0.056507,0.864000,0.968514,0.974704,0.00099384,15.70
4,0.041823,0.901600,0.975629,0.982684,0.00098907,15.47
5,0.031613,0.927200,0.985200,0.987087,0.00098296,15.75
6,0.027222,0.922600,0.984143,0.986971,0.00097553,15.71
7,0.024354,0.916600,0.980143,0.984746,0.00096679,15.55
8,0.021928,0.944000,0.988571,0.990700,0.00095677,15.51
9,0.019488,0.928400,0.982886,0.987406,0.00094550,15.45
10,0.016178,0.940200,0.988200,0.990089,0.00093301,15.50
11,0.015683,0.952600,0.990229,0.992289,0.00091934,15.46
12,0.014329,0.949800,0.990371,0.991386,0.00090451,15.48
13,0.014429,0.964400,0.992314,0.993889,0.00088857,15.46
14,0.012590,0.955600,0.991514,0.992677,0.00087157,15.48
15,0.011066,0.942200,0.988571,0.990486,0.00085355,15.54
16,0.010894,0.963600,0.993000,0.993721,0.00083457,15.50
17,0.009904,0.952800,0.991114,0.992261,0.00081466,15.49
18,0.008764,0.961400,0.991943,0.993449,0.00079389,15.45
19,0.008647,0.967000,0.992943,0.994593,0.00077232,15.54
20,0.008713,0.968600,0.993800,0.994709,0.00075000,15.47
21,0.008149,0.966400,0.992886,0.994557,0.00072700,15.49
22,0.006603,0.953600,0.990143,0.992425,0.00070337,15.51
23,0.006151,0.962200,0.992229,0.993693,0.00067918,15.48
24,0.006680,0.964600,0.993086,0.994036,0.00065451,15.59
25,0.005827,0.970400,0.994486,0.995034,0.00062941,15.50
26,0.004884,0.961400,0.992571,0.993473,0.00060396,15.49
27,0.005311,0.959400,0.992343,0.993292,0.00057822,15.50
28,0.004093,0.976600,0.995257,0.996004,0.00055226,15.83
29,0.003773,0.971200,0.994086,0.995282,0.00052617,15.45
30,0.003832,0.965400,0.993429,0.994484,0.00050000,15.46
31,0.003185,0.971400,0.994314,0.995182,0.00047383,15.42
32,0.003181,0.967000,0.993314,0.994295,0.00044774,15.42
33,0.003087,0.977400,0.995229,0.996261,0.00042178,15.48
34,0.002601,0.977600,0.995743,0.996300,0.00039604,15.43
35,0.001880,0.981000,0.996257,0.996930,0.00037059,15.45
36,0.002048,0.970600,0.994171,0.995257,0.00034549,15.41
37,0.001433,0.981200,0.996000,0.996888,0.00032082,15.45
38,0.001280,0.982800,0.996200,0.997188,0.00029663,15.50
39,0.001505,0.982000,0.996400,0.997041,0.00027300,15.46
40,0.001094,0.982600,0.996571,0.997100,0.00025000,15.42
41,0.000865,0.979000,0.995571,0.996390,0.00022768,15.40
42,0.000916,0.981800,0.996229,0.997018,0.00020611,15.47
43,0.000885,0.981400,0.996571,0.997025,0.00018534,15.42
44,0.000611,0.983800,0.996771,0.997318,0.00016543,15.43
45,0.000536,0.984600,0.997171,0.997470,0.00014645,15.48
46,0.000547,0.984400,0.997229,0.997520,0.00012843,15.46
47,0.000370,0.984000,0.997343,0.997418,0.00011143,15.53
48,0.000288,0.984200,0.997257,0.997481,0.00009549,15.44
49,0.000297,0.984600,0.997171,0.997607,0.00008066,15.47
50,0.000256,0.986200,0.997171,0.997643,0.00006699,15.44
51,0.000285,0.984600,0.996829,0.997452,0.00005450,15.49
52,0.000171,0.985400,0.997086,0.997620,0.00004323,16.10
53,0.000169,0.987200,0.997343,0.997820,0.00003321,15.69
54,0.000140,0.986200,0.997229,0.997695,0.00002447,15.41
55,0.000155,0.986000,0.997200,0.997666,0.00001704,15.43
56,0.000122,0.987000,0.997343,0.997838,0.00001093,15.46
57,0.000127,0.987000,0.997429,0.997859,0.00000616,15.41
58,0.000110,0.986800,0.997400,0.997831,0.00000274,15.41
59,0.000127,0.986800,0.997314,0.997781,0.00000069,15.40
60,0.000105,0.987200,0.997486,0.997856,0.00000000,15.44
