epoch,train_loss,val_exact_acc,val_char_acc,val_ned,lr,sec
1,4.117114,0.000000,0.000057,0.000057,0.00099931,3.32
2,2.503333,0.000000,0.000000,0.002314,0.00099726,2.89
3,1.848809,0.000000,0.263657,0.289000,0.00099384,2.88
4,1.141571,0.040000,0.428457,0.580229,0.00098907,2.81
5,0.570387,0.307600,0.680000,0.793882,0.00098296,3.02
6,0.313565,0.482000,0.806771,0.865698,0.00097553,2.84
7,0.205833,0.612800,0.872657,0.907885,0.00096679,2.93
8,0.148899,0.598200,0.872371,0.909872,0.00095677,2.90
9,0.120265,0.722800,0.916686,0.941557,0.00094550,2.93
10,0.094328,0.751000,0.931514,0.948040,0.00093301,3.02
11,0.078951,0.771200,0.939114,0.954296,0.00091934,2.96
12,0.071995,0.695000,0.923029,0.935520,0.00090451,2.94
13,0.064427,0.565400,0.884343,0.903898,0.00088857,2.76
14,0.054711,0.791600,0.948400,0.959852,0.00087157,2.78
15,0.048795,0.785600,0.942743,0.957477,0.00085355,2.74
16,0.044225,0.818200,0.952829,0.964887,0.00083457,2.68
17,0.037190,0.748200,0.929914,0.948356,0.00081466,2.69
18,0.037671,0.861800,0.965571,0.973867,0.00079389,2.68
19,0.033880,0.822600,0.952571,0.965467,0.00077232,2.79
20,0.028368,0.848000,0.960400,0.970812,0.00075000,2.71
21,0.023969,0.854200,0.963600,0.971458,0.00072700,2.72
22,0.022288,0.837200,0.959743,0.969445,0.00070337,2.74
23,0.020394,0.860800,0.965229,0.973480,0.00067918,2.68
24,0.019027,0.868200,0.966229,0.974802,0.00065451,2.76
25,0.017985,0.845600,0.960029,0.969701,0.00062941,2.75
26,0.015878,0.868800,0.968343,0.976138,0.00060396,2.71
27,0.016152,0.848200,0.961914,0.970583,0.00057822,2.69
28,0.015259,0.864400,0.965543,0.975113,0.00055226,2.76
29,0.015280,0.874200,0.970629,0.977025,0.00052617,2.75
30,0.013955,0.874000,0.968829,0.976523,0.00050000,2.70
31,0.012947,0.875000,0.970400,0.976879,0.00047383,2.68
32,0.011146,0.872400,0.968543,0.976165,0.00044774,2.70
33,0.009837,0.864200,0.967457,0.974953,0.00042178,2.79
34,0.009618,0.881400,0.972200,0.978543,0.00039604,2.69
35,0.008201,0.885000,0.972486,0.977957,0.00037059,2.72
36,0.007413,0.873200,0.970800,0.976606,0.00034549,2.73
37,0.006027,0.891000,0.974829,0.980223,0.00032082,2.74
38,0.004841,0.888200,0.974171,0.979333,0.00029663,2.79
39,0.005490,0.882000,0.972371,0.978044,0.00027300,2.74
40,0.004762,0.883600,0.972914,0.978379,0.00025000,2.68
41,0.005486,0.893200,0.975543,0.980668,0.00022768,2.71
42,0.005125,0.892800,0.975543,0.980129,0.00020611,2.78
43,0.004508,0.892000,0.975400,0.980532,0.00018534,2.69
44,0.003735,0.896600,0.975914,0.981448,0.00016543,2.71
45,0.003492,0.895800,0.975200,0.980485,0.00014645,2.73
46,0.003426,0.895400,0.975943,0.980839,0.00012843,2.72
47,0.003243,0.897000,0.976257,0.981277,0.00011143,2.75
48,0.003489,0.892000,0.974343,0.980340,0.00009549,2.68
49,0.002876,0.894400,0.974771,0.980771,0.00008066,2.74
50,0.002895,0.897800,0.975857,0.981642,0.00006699,2.73
51,0.002654,0.899600,0.976629,0.981826,0.00005450,2.75
52,0.002749,0.899600,0.976486,0.981727,0.00004323,2.72
53,0.002618,0.898600,0.976200,0.981823,0.00003321,2.72
54,0.002343,0.898200,0.976629,0.981837,0.00002447,2.72
55,0.002280,0.896800,0.976314,0.981548,0.00001704,2.73
56,0.002589,0.897400,0.976286,0.981649,0.00001093,2.79
57,0.002395,0.899400,0.976971,0.981999,0.00000616,2.72
58,0.002150,0.898200,0.976800,0.981820,0.00000274,2.73
59,0.002396,0.899400,0.976771,0.982049,0.00000069,2.75
60,0.002147,0.899200,0.976457,0.981938,0.00000000,2.72
