epoch,train_loss,val_exact_acc,val_char_acc,val_ned,lr,sec
1,1.051721,0.773600,0.928229,0.952629,0.00100000,19.12
2,0.068351,0.886800,0.973286,0.979181,0.00100000,18.53
3,0.040626,0.848800,0.965857,0.971794,0.00100000,18.37
4,0.031155,0.930200,0.985286,0.988282,0.00100000,18.40
5,0.024820,0.941000,0.985743,0.990050,0.00100000,18.42
6,0.020787,0.941400,0.987771,0.989921,0.00100000,18.39
7,0.017349,0.956400,0.991029,0.992607,0.00100000,18.38
8,0.015184,0.953600,0.991171,0.992464,0.00100000,18.39
9,0.015491,0.935200,0.986886,0.989254,0.00100000,18.40
10,0.013168,0.956200,0.991514,0.992857,0.00100000,18.47
11,0.012564,0.948000,0.989200,0.991448,0.00100000,18.40
12,0.011313,0.940000,0.988457,0.989648,0.00100000,18.44
13,0.011058,0.965800,0.993171,0.994557,0.00100000,18.39
14,0.009454,0.929800,0.985657,0.988481,0.00100000,18.64
15,0.009564,0.961800,0.992514,0.993643,0.00100000,18.59
16,0.009227,0.959400,0.991771,0.993190,0.00100000,18.54
17,0.008971,0.963400,0.993457,0.994043,0.00100000,18.53
18,0.008317,0.955000,0.990514,0.992496,0.00100000,18.58
19,0.007742,0.969600,0.993171,0.994739,0.00100000,18.62
20,0.006386,0.962200,0.992229,0.993579,0.00100000,18.58
21,0.008170,0.953000,0.990429,0.992554,0.00100000,18.57
22,0.006450,0.971800,0.994314,0.995479,0.00100000,18.58
23,0.005781,0.966400,0.992829,0.994464,0.00100000,18.59
24,0.007710,0.912000,0.982971,0.985058,0.00100000,18.66
25,0.006048,0.966200,0.992971,0.994782,0.00100000,18.60
26,0.005859,0.971200,0.994914,0.995450,0.00100000,18.59
27,0.005315,0.974400,0.995229,0.995834,0.00100000,18.56
28,0.005910,0.827600,0.971143,0.972714,0.00100000,18.65
29,0.005598,0.974800,0.994857,0.995852,0.00100000,18.61
30,0.004538,0.973800,0.994914,0.995870,0.00100000,18.58
31,0.005605,0.954600,0.990400,0.992606,0.00100000,18.70
32,0.004308,0.974400,0.995114,0.995933,0.00100000,18.61
33,0.004805,0.973400,0.994714,0.995732,0.00100000,18.64
34,0.003964,0.973600,0.995571,0.995793,0.00100000,18.58
35,0.004027,0.967200,0.993629,0.994650,0.00100000,18.61
36,0.004800,0.973400,0.994286,0.995720,0.00100000,18.60
37,0.004289,0.946800,0.989200,0.991432,0.00100000,18.65
38,0.004898,0.963600,0.992314,0.994093,0.00100000,18.59
39,0.004284,0.975600,0.995029,0.996086,0.00100000,18.62
40,0.004186,0.976000,0.995800,0.996306,0.00100000,18.61
41,0.003809,0.967200,0.993971,0.994854,0.00100000,18.63
42,0.003229,0.974600,0.995571,0.995871,0.00100000,18.66
43,0.003239,0.970400,0.994857,0.995400,0.00100000,18.62
44,0.003701,0.972400,0.995171,0.995780,0.00100000,18.62
45,0.003789,0.974600,0.995543,0.995787,0.00100000,18.58
46,0.002789,0.975200,0.994943,0.995861,0.00100000,18.63
47,0.003137,0.968000,0.994057,0.994921,0.00100000,18.69
48,0.003501,0.972000,0.994457,0.995371,0.00100000,18.85
49,0.003361,0.961200,0.992686,0.993550,0.00100000,18.52
50,0.002856,0.974000,0.995000,0.995786,0.00100000,18.49
51,0.003658,0.977000,0.995229,0.996287,0.00100000,18.56
52,0.002993,0.972600,0.994943,0.995539,0.00100000,18.49
53,0.002900,0.984000,0.997286,0.997370,0.00100000,18.50
54,0.001531,0.950400,0.990914,0.992332,0.00100000,18.51
55,0.002208,0.980000,0.996486,0.996953,0.00100000,18.50
56,0.003179,0.975200,0.995200,0.996050,0.00100000,18.81
57,0.003389,0.982800,0.997200,0.997439,0.00100000,18.63
58,0.003013,0.973400,0.995314,0.995764,0.00100000,18.67
59,0.002614,0.981000,0.996029,0.996921,0.00100000,18.68
60,0.002851,0.979200,0.995657,0.996540,0.00100000,18.63
