epoch,train_loss,val_exact_acc,val_char_acc,val_ned,lr,sec
1,1.055437,0.815600,0.948714,0.963043,0.00100000,18.85
2,0.069671,0.872200,0.967029,0.977555,0.00100000,18.48
3,0.040703,0.892600,0.974343,0.980739,0.00100000,18.50
4,0.031081,0.911000,0.980171,0.984850,0.00100000,18.53
5,0.025095,0.935400,0.985914,0.988953,0.00100000,18.59
6,0.021421,0.954400,0.990114,0.992454,0.00100000,18.53
7,0.017266,0.952800,0.989257,0.992275,0.00100000,18.54
8,0.015825,0.955400,0.990743,0.992668,0.00100000,18.54
9,0.014661,0.936600,0.986429,0.989582,0.00100000,18.54
10,0.013200,0.959600,0.991743,0.993464,0.00100000,18.64
11,0.012178,0.951600,0.990000,0.991854,0.00100000,18.53
12,0.011226,0.967000,0.993571,0.994618,0.00100000,18.52
13,0.010680,0.962400,0.992514,0.994082,0.00100000,18.58
14,0.010397,0.938400,0.986943,0.988818,0.00100000,18.57
15,0.009119,0.940200,0.987400,0.989889,0.00100000,18.61
16,0.009295,0.957600,0.991543,0.992848,0.00100000,18.57
17,0.009007,0.941200,0.988971,0.990648,0.00100000,18.79
18,0.008562,0.959000,0.992143,0.993254,0.00100000,18.51
19,0.008123,0.863800,0.978143,0.978729,0.00100000,18.49
20,0.006903,0.964600,0.993000,0.994250,0.00010000,18.46
21,0.002585,0.983600,0.996857,0.997314,0.00010000,18.47
22,0.001430,0.984400,0.997086,0.997425,0.00010000,18.50
23,0.001166,0.985600,0.997543,0.997736,0.00010000,18.49
24,0.000942,0.984600,0.997257,0.997588,0.00010000,18.54
25,0.000882,0.984800,0.997314,0.997568,0.00010000,18.51
26,0.000811,0.985200,0.997514,0.997718,0.00010000,18.50
27,0.000705,0.986200,0.997629,0.997863,0.00010000,18.52
28,0.000646,0.985600,0.997600,0.997737,0.00010000,18.56
29,0.000586,0.986000,0.997343,0.997861,0.00010000,18.52
30,0.000533,0.985000,0.997343,0.997718,0.00010000,18.51
31,0.000526,0.985200,0.997371,0.997673,0.00010000,18.51
32,0.000556,0.986000,0.997486,0.997746,0.00010000,18.51
33,0.000526,0.985600,0.997457,0.997746,0.00010000,18.61
34,0.000449,0.986200,0.997371,0.997779,0.00010000,18.48
35,0.000457,0.987200,0.997971,0.997986,0.00010000,18.53
36,0.000584,0.985600,0.997457,0.997786,0.00010000,18.51
37,0.000445,0.985600,0.997371,0.997693,0.00010000,18.54
38,0.000487,0.984800,0.997200,0.997532,0.00010000,18.76
39,0.000542,0.985600,0.997229,0.997732,0.00010000,18.52
40,0.000451,0.985400,0.997286,0.997775,0.00001000,18.49
41,0.000290,0.986200,0.997600,0.997921,0.00001000,18.49
42,0.000200,0.986600,0.997657,0.997946,0.00001000,18.57
43,0.000195,0.986800,0.997629,0.997979,0.00001000,18.50
44,0.000168,0.985800,0.997457,0.997839,0.00001000,18.49
45,0.000157,0.985400,0.997429,0.997775,0.00001000,18.49
46,0.000163,0.985600,0.997486,0.997800,0.00001000,18.55
47,0.000146,0.985200,0.997343,0.997750,0.00001000,18.89
48,0.000134,0.985400,0.997371,0.997779,0.00001000,18.53
49,0.000161,0.986200,0.997543,0.997900,0.00001000,18.53
50,0.000126,0.986600,0.997543,0.997929,0.00001000,18.54
51,0.000136,0.986200,0.997543,0.997861,0.00001000,18.57
52,0.000143,0.985800,0.997457,0.997807,0.00001000,18.53
53,0.000112,0.985000,0.997229,0.997668,0.00001000,18.57
54,0.000091,0.986000,0.997429,0.997807,0.00001000,18.51
55,0.000146,0.985600,0.997486,0.997746,0.00001000,18.50
56,0.000086,0.985800,0.997486,0.997804,0.00001000,18.58
57,0.000143,0.986000,0.997429,0.997807,0.00001000,18.54
58,0.000109,0.985400,0.997314,0.997693,0.00001000,18.52
59,0.000090,0.985200,0.997314,0.997693,0.00001000,18.56
60,0.000101,0.986200,0.997514,0.997857,0.00000100,18.54
