epoch,train_loss,val_exact_acc,val_char_acc,val_ned,lr,sec
1,1.054441,0.747000,0.923743,0.945421,0.00099931,19.40
2,0.069881,0.883600,0.971286,0.979168,0.00099726,18.61
3,0.040472,0.920400,0.982400,0.986182,0.00099384,18.60
4,0.030691,0.896800,0.976714,0.981529,0.00098907,18.60
5,0.024641,0.923800,0.981800,0.987304,0.00098296,18.55
6,0.020452,0.930600,0.985114,0.987848,0.00097553,18.54
7,0.017977,0.915000,0.983400,0.986187,0.00096679,18.54
8,0.016053,0.960800,0.991829,0.993477,0.00095677,18.54
9,0.013768,0.941200,0.988429,0.990482,0.00094550,18.54
10,0.012913,0.950000,0.991171,0.991941,0.00093301,18.60
11,0.012040,0.948800,0.989543,0.991371,0.00091934,18.53
12,0.011127,0.953200,0.990543,0.992229,0.00090451,18.52
13,0.009851,0.959800,0.991971,0.993550,0.00088857,18.55
14,0.009276,0.956800,0.990571,0.992525,0.00087157,19.15
15,0.008019,0.961600,0.992257,0.994032,0.00085355,18.64
16,0.008547,0.942000,0.989000,0.990438,0.00083457,18.66
17,0.007389,0.954200,0.990314,0.992336,0.00081466,18.60
18,0.006548,0.974400,0.994857,0.995904,0.00079389,18.61
19,0.006240,0.964200,0.992914,0.994266,0.00077232,18.66
20,0.006134,0.952200,0.990686,0.992395,0.00075000,18.61
21,0.005457,0.972200,0.994286,0.995536,0.00072700,18.79
22,0.005771,0.949400,0.990543,0.991602,0.00070337,19.11
23,0.004649,0.971000,0.994600,0.995514,0.00067918,18.57
24,0.003450,0.971200,0.994200,0.995014,0.00065451,18.62
25,0.004415,0.969800,0.994400,0.995057,0.00062941,18.59
26,0.003488,0.969200,0.994343,0.995218,0.00060396,18.64
27,0.002765,0.967200,0.993514,0.994737,0.00057822,18.87
28,0.003169,0.976200,0.995514,0.996039,0.00055226,18.79
29,0.003041,0.973200,0.994486,0.995560,0.00052617,18.92
30,0.003014,0.980000,0.996371,0.996796,0.00050000,19.04
31,0.002131,0.962600,0.993486,0.993886,0.00047383,18.87
32,0.001768,0.980200,0.996771,0.996889,0.00044774,18.76
33,0.001705,0.971000,0.993943,0.995204,0.00042178,18.69
34,0.001571,0.982200,0.996086,0.996975,0.00039604,18.95
35,0.001509,0.961400,0.993229,0.993839,0.00037059,18.88
36,0.001324,0.981800,0.996657,0.996986,0.00034549,18.62
37,0.001255,0.983600,0.997371,0.997532,0.00032082,19.04
38,0.000951,0.984000,0.996743,0.997425,0.00029663,18.78
39,0.000728,0.982200,0.996514,0.997150,0.00027300,19.19
40,0.000787,0.983200,0.996800,0.997382,0.00025000,18.59
41,0.000455,0.983200,0.996971,0.997311,0.00022768,18.60
42,0.000635,0.983000,0.997114,0.997346,0.00020611,18.63
43,0.000281,0.984600,0.997200,0.997539,0.00018534,18.56
44,0.000192,0.985200,0.997200,0.997571,0.00016543,19.24
45,0.000288,0.986200,0.997657,0.997807,0.00014645,19.04
46,0.000110,0.986800,0.997429,0.997925,0.00012843,18.83
47,0.000257,0.986400,0.997086,0.997789,0.00011143,18.94
48,0.000140,0.985800,0.997257,0.997736,0.00009549,19.08
49,0.000093,0.986200,0.997657,0.997796,0.00008066,18.62
50,0.000125,0.987800,0.997543,0.997993,0.00006699,18.83
51,0.000093,0.988000,0.997514,0.998054,0.00005450,19.04
52,0.000079,0.988200,0.997629,0.998093,0.00004323,19.10
53,0.000061,0.988600,0.997771,0.998175,0.00003321,18.66
54,0.000038,0.988800,0.997829,0.998232,0.00002447,18.65
55,0.000043,0.988200,0.997714,0.998146,0.00001704,18.65
56,0.000036,0.988600,0.997657,0.998146,0.00001093,18.72
57,0.000035,0.988400,0.997571,0.998146,0.00000616,18.89
58,0.000031,0.988600,0.997571,0.998146,0.00000274,18.97
59,0.000036,0.988800,0.997686,0.998200,0.00000069,18.66
60,0.000027,0.988800,0.997629,0.998204,0.00000000,18.70
